name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Casa Magy,135939267,Margarita R,Cuauhtémoc,19.43456,-99.1677,Private room,400,2,17,0.84,2,358
Increíble departamento,93943242,Gustavo,Cuauhtémoc,19.42353,-99.16189,Entire home/apt,900,3,99,2.19,2,82
Quiet and comfortable house in Coyoacan,135974299,Adrian,Coyoacán,19.34668,-99.15009,Entire home/apt,1460,2,1,0.02,2,3
QUIET apt in the HOTTEST spot @ CONDESA 6 guests n,135901463,Tam,Cuauhtémoc,19.4133,-99.17195,Entire home/apt,922,1,13,0.29,3,84
"LOFT ZONA POLANCO/LOMAS ""SP02-C""",47665322,Rocio,Miguel Hidalgo,19.434,-99.21208,Entire home/apt,821,1,129,2.96,17,362
Insurgentes Sur Beautiful Appartment,136082458,Christian,Tlalpan,19.2788,-99.1731,Private room,350,1,4,0.1,1,363
Preciosa casa completamente amueblada,136078988,Casa,Iztacalco,19.40009,-99.12813,Entire home/apt,690,3,28,0.64,1,0
Amazing location & beautiful apartment,52705975,Jeza,Cuauhtémoc,19.41761,-99.15612,Entire home/apt,900,2,81,2.11,2,169
Private suite at home in Coyoacan,135974299,Adrian,Coyoacán,19.34815,-99.15012,Entire home/apt,801,2,1,0.02,2,180
Loft Excellent location!,75719990,Gilda,Benito Juárez,19.38308,-99.15602,Entire home/apt,553,2,59,1.35,1,357
Juan carlos crib,29633995,Juan Carlos,Miguel Hidalgo,19.44113,-99.184,Private room,500,1,0,0.0,1,0
Private Suite Molinar,97643412,Amparo,Miguel Hidalgo,19.45609,-99.21028,Entire home/apt,820,1,27,0.6,1,0
"Spacious, Full Of Light, 5GWIFI @Condesa",9470995,Sejen & Pepe,Cuauhtémoc,19.40396,-99.17032,Entire home/apt,1620,3,40,0.87,5,361
Beautiful and greatly located PH in Mexico City!,23169790,Ana & Jimena,Benito Juárez,19.39631,-99.16903,Entire home/apt,1134,2,40,0.88,1,179
Amplia recámara céntrica,63677292,Brenda,Cuauhtémoc,19.40705,-99.16139,Private room,420,1,7,0.19,5,365
Departamento amplio e iluminado de una recámara,31298759,Bere,Miguel Hidalgo,19.41059,-99.18608,Entire home/apt,710,2,51,1.12,2,129
"Departamento 2 plantas, en el centro de Coyoacan.",136253931,Leticia,Coyoacán,19.34802,-99.16015,Private room,658,2,206,4.53,1,180
Private Room Mexico City Roma Condesa Centro,105232190,Ricardo,Benito Juárez,19.40256,-99.15571,Private room,218,1,204,4.46,3,349
"Casa Prima, wonderful and cute apartment.",38499931,Mariana,Cuauhtémoc,19.41738,-99.17848,Entire home/apt,1834,7,54,1.19,1,43
2 blocks to Zona Rosa & Reforma Avenue,55281104,Humberto,Cuauhtémoc,19.42593,-99.15911,Private room,453,1,105,2.32,1,294
Mini Loft in Coyoacan,1514999,Jorge,Coyoacán,19.34899,-99.15929,Entire home/apt,825,2,287,6.42,1,344
Habitación tipo hotel en ubicación privilegiada,136306567,Veronica,Cuauhtémoc,19.44241,-99.1647,Entire home/apt,550,2,100,2.2,3,259
C1 PRIVATE ROOM/PRIVATE TERRACE Breakfast INCLUDED,1886913,Distrito Condesa,Cuauhtémoc,19.40874,-99.17535,Private room,1114,1,2,0.12,10,329
Charming Room in Hipodromo Condesa,98057228,Martín,Cuauhtémoc,19.41562,-99.16907,Private room,400,1,4,0.09,1,0
"Cute and ideally located, welcome to our place !",136459275,Laia Alberto,Cuauhtémoc,19.42833,-99.1702,Entire home/apt,750,3,110,2.55,1,80
"Departamento. Ángel de la Independencia, Reforma.",99947037,Julio,Cuauhtémoc,19.43314,-99.17021,Entire home/apt,550,3,83,1.81,5,0
Apartamento amueblado sur de la CDMX,136522055,José Edgar,Tlalpan,19.29865,-99.16441,Entire home/apt,450,1,1,0.06,1,365
Recamara independiente sur CDMX Hospitales,118572000,Ventura Ramon,Tlalpan,19.29855,-99.14197,Entire home/apt,250,3,35,0.82,2,154
2 habitaciones privadas. 4 a 6 personas,76987905,Ruth,Benito Juárez,19.38896,-99.1784,Private room,1300,2,0,0.0,5,364
Amplio y céntrico depto para grupos o familias,136631610,Javier,Venustiano Carranza,19.44891,-99.11734,Entire home/apt,617,2,18,0.77,4,146
Hermoso departamento nuevo con excelente ubicación,29735586,Julieta,Miguel Hidalgo,19.45514,-99.2118,Entire home/apt,850,1,59,1.32,5,175
Working at home in Roma apartment,42436804,Setsuko,Cuauhtémoc,19.41649,-99.15438,Entire home/apt,1257,1,104,2.36,3,297
DF Ciudad de México en el Centro de la ciudad,105813615,Alice,Cuauhtémoc,19.44855,-99.13671,Entire home/apt,472,2,16,0.36,1,71
BELLA SUITE AL SUR DE LA CIUDAD,130496366,Manuela,Tlalpan,19.2747,-99.20945,Shared room,300,1,3,0.08,2,0
bedroom for two in littletown San Jerónimo in CDMX,136788402,Tere,La Magdalena Contreras,19.32575,-99.22201,Private room,360,3,0,0.0,1,88
Business & family 3B apartment @Carso area,22049255,Vannya,Miguel Hidalgo,19.44502,-99.20316,Entire home/apt,2261,2,46,1.05,2,362
Departamento acogedor bien ubicado,136484937,Luis,Venustiano Carranza,19.43052,-99.10958,Private room,525,2,44,0.99,1,363
Hermoso departamento a 3 km de Coyoacán.,100391026,Azul Simona,Benito Juárez,19.37108,-99.15232,Entire home/apt,450,7,43,0.95,1,299
Bonito e iluminado apartamento en el sur de CDMX,136658850,Andrea Y Emilia,Álvaro Obregón,19.35541,-99.18583,Entire home/apt,1235,14,33,0.76,2,55
Bonito y tranquilo departamento cerca de Coyoacán,136658850,Andrea Y Emilia,Benito Juárez,19.36369,-99.1744,Entire home/apt,1340,14,50,1.23,2,26
Amplías habitaciones en Colina del Sur,136991018,,Álvaro Obregón,19.36771,-99.22369,Private room,295,3,1,0.02,1,180
Polanco Suites - Double Bedroom,61030249,Paul,Miguel Hidalgo,19.43355,-99.20751,Private room,301,1,105,2.31,10,353
Mini Loft/Studio doble en excelente ubicación,136306567,Veronica,Cuauhtémoc,19.44091,-99.16313,Entire home/apt,690,2,110,2.43,3,352
DCR international suites,115249629,Sergio,Iztapalapa,19.36901,-99.12572,Private room,590,1,108,2.37,2,362
Beautiful Suite In Polanco,137161018,Jonathan,Miguel Hidalgo,19.43504,-99.21023,Entire home/apt,1835,2,14,0.31,1,365
Departamento antiguo recíen remodelado,21085687,Gerardo,Cuauhtémoc,19.45376,-99.15661,Entire home/apt,525,1,0,0.0,2,0
Luxurious & Modern 3BR Apt,103223472,Enrique,Cuauhtémoc,19.4207,-99.15686,Entire home/apt,2002,3,33,0.75,1,87
Private room with private bathroom and k-size bed,13326776,Martín Fernando,Cuauhtémoc,19.4113,-99.16704,Private room,265,2,9,0.2,1,83
DCR suites,115249629,Sergio,Iztapalapa,19.36684,-99.12473,Private room,270,1,51,1.13,2,364
Live CDMX - Roma / Condesa,26804107,José Guillermo,Cuauhtémoc,19.41865,-99.17316,Entire home/apt,1093,2,82,1.8,3,343
Renta Recamara muy cerca instituto Neurologia,137375512,Tere,Tlalpan,19.29177,-99.17629,Private room,290,3,23,0.53,3,51
Rento Habitación,5792060,Ana Maria,Tlalpan,19.28631,-99.13157,Private room,450,1,1,0.04,1,365
Modern Mexican home in Juárez,1251914,Gerardo,Cuauhtémoc,19.42913,-99.1534,Entire home/apt,772,2,135,3.05,1,146
"Beautiful Apart; great location, breathtaking view",127433321,Norma,Cuauhtémoc,19.42833,-99.15727,Entire home/apt,1075,2,139,3.07,4,57
Nice Room w/private bathroom in CDMX Roma Norte,23931949,Javier,Cuauhtémoc,19.42398,-99.16097,Private room,650,1,76,2.49,2,362
❤️ OLYMPIC VILLAGE AZURE⭐COMFY & CHIC,1562506,Gerald,Tlalpan,19.2988,-99.18728,Private room,490,7,52,1.16,5,87
Beautiful Mexican Flat in South Side CDMX // dpto,137600616,Erick,Tlalpan,19.29957,-99.1654,Private room,400,1,0,0.0,2,363
Excelente ubicación,91565306,Humberto,Miguel Hidalgo,19.42815,-99.17683,Private room,495,2,0,0.0,1,87
Private Suite in Narvarte (central and safe place),137675381,Tan,Benito Juárez,19.40015,-99.14739,Private room,300,1,9,0.21,1,180
MARIA DEL ALMA GUESTHOUSE,647454,Fernando,Coyoacán,19.35407,-99.16362,Entire home/apt,1350,1,1,0.02,3,365
Cozy and comfortable room in excelent location.,137698012,Angelina,Álvaro Obregón,19.35098,-99.18107,Private room,450,1,21,0.51,1,89
Gran Departamento zona divertida! Super ubicado!,22021773,Tony,Cuauhtémoc,19.4299,-99.17095,Entire home/apt,1853,2,6,0.14,1,180
Boombastikx,137686400,Ivan,Benito Juárez,19.35985,-99.1607,Private room,220,2,0,0.0,1,3
Hermoso depa a un paso de Polanco y Carso,29830399,Evy,Miguel Hidalgo,19.44301,-99.20133,Entire home/apt,1600,2,41,0.91,1,267
Sunny new apartment next to Chapultepec Park,8377512,Juan Americo,Miguel Hidalgo,19.4124,-99.19005,Entire home/apt,1026,2,83,1.86,1,350
Roma sur loft,15971740,Macarena,Cuauhtémoc,19.40422,-99.16292,Entire home/apt,650,6,8,0.18,1,356
La casa de los Ángeles,98494071,Isabel,Xochimilco,19.2797,-99.12958,Private room,1000,2,1,0.02,1,362
Lujo y Confort en CDMX!!!,130064594,Norma,Benito Juárez,19.40322,-99.15723,Private room,399,2,47,1.04,4,0
Departamento acogedor en el centro de Tlalpan,138065090,Mireya,Tlalpan,19.28435,-99.16718,Entire home/apt,650,1,21,0.47,1,55
Los mejores Lofts en Ciudad de México,30600030,Daphne,Benito Juárez,19.40226,-99.14636,Entire home/apt,750,1,13,0.29,16,365
Lujoso y amplio departamento con terraza privada,35072269,Juliana,Cuauhtémoc,19.42265,-99.17147,Entire home/apt,1550,2,0,0.0,1,4
Recamara,137176393,,Miguel Hidalgo,19.40204,-99.17582,Private room,689,1,0,0.0,1,364
Gorgeous Apartment in Colonial Coyoacán!,138189502,Monica,Coyoacán,19.34504,-99.15748,Entire home/apt,1216,4,32,0.75,1,6
Spacious & bright Apt. in Beautiful Colonia ROMA,127433321,Norma,Cuauhtémoc,19.42365,-99.16024,Entire home/apt,1200,2,185,4.12,4,269
Tanke hause,136125882,Fernando,Coyoacán,19.342,-99.15141,Private room,181,1,0,0.0,1,358
Great place in the Historic Center of Mexico City,136974113,Grisel,Cuauhtémoc,19.43017,-99.14759,Entire home/apt,597,2,93,2.17,1,150
2 habitaciones privadas. 2 a 4 personas,76987905,Ruth,Benito Juárez,19.38707,-99.17886,Private room,1000,2,2,0.08,5,364
Le chateau Chez molly,99119555,George,Benito Juárez,19.36887,-99.16083,Private room,500,99,0,0.0,1,358
High Speed Internet - Classy Loft CDMX,15473248,Arcelia,Miguel Hidalgo,19.41054,-99.19189,Entire home/apt,804,3,88,1.95,3,361
SUITE IDEAL FOR EXECUTIVES AND VACATIONERS,131960057,Jose Luis,Miguel Hidalgo,19.39669,-99.18318,Entire home/apt,750,2,60,1.32,1,365
Silvia. Recámara  independiente. Col. Roma Sur,39018009,Silvia,Cuauhtémoc,19.40129,-99.16915,Private room,450,3,2,0.11,6,364
Good place to feel like in your own house.,122472108,Jocelyn,Cuauhtémoc,19.41445,-99.15517,Private room,736,2,1,0.02,1,88
Beautiful Apart. Boutique at Down Town,83408110,Martín,Cuauhtémoc,19.43456,-99.14466,Entire home/apt,929,2,10,0.23,9,356
Lujo y Confort 2 CDMX,130064594,Norma,Benito Juárez,19.40231,-99.15711,Private room,349,2,31,0.69,4,0
Bonito Departamento en el centro de la CDMX,150372498,,Cuauhtémoc,19.42772,-99.15143,Entire home/apt,669,3,109,2.44,1,266
2 Bedroom Cozy Apartment with Great Location!,85926438,Jennifer,Benito Juárez,19.37089,-99.165,Entire home/apt,1031,2,62,1.78,1,358
Hospedate en el Sur de la CDMX,120458690,Víctor,La Magdalena Contreras,19.29773,-99.23436,Private room,450,1,0,0.0,1,89
"Mexican Style apartment, Heart of Xochimilco",125037579,Susana,Xochimilco,19.25763,-99.1019,Entire home/apt,706,2,49,1.08,1,66
Nice Apartment in Downtown CDMX :),138635365,Beca,Cuauhtémoc,19.43702,-99.1584,Entire home/apt,577,15,28,0.62,1,0
Georgeous Artistic PH in the heart of Roma Norte,45912862,Eduardo,Cuauhtémoc,19.41974,-99.1689,Entire home/apt,1874,2,36,0.82,4,234
Lovely studio with a view! Unbeatable location,17264717,Ernie,Benito Juárez,19.36731,-99.16933,Entire home/apt,871,2,76,1.7,1,365
"Charming, clean and central apartment at Roma Sur",138732964,Mariana,Cuauhtémoc,19.40985,-99.16567,Entire home/apt,847,7,64,1.48,2,292
Habitacion para dos personas en Casa Díaz,137405500,Gerardo Humberto,Coyoacán,19.32492,-99.15709,Private room,210,2,2,0.06,1,365
"Casa San Jerónimo Lidice, sur de la CDMX",22626099,José Alberto,La Magdalena Contreras,19.33057,-99.22355,Private room,1000,1,0,0.0,1,0
"Near WTC, bright & comfy home!",389570541,Edurne,Benito Juárez,19.39367,-99.17555,Entire home/apt,800,3,29,0.72,2,64
Cozy studio apartment in a quiet and central area,138802857,Julieta,Azcapotzalco,19.45896,-99.16762,Entire home/apt,451,2,135,2.97,1,364
POSADA Vs4 Aeropuerto (habitación matrimonial),94919668,Verenice,Venustiano Carranza,19.42235,-99.08437,Private room,600,1,4,0.1,5,365
Hostel Posada Vs4 Aeropuerto (Mini Room-Capsule),94919668,Verenice,Venustiano Carranza,19.4223,-99.0841,Private room,300,1,41,0.94,5,365
LOFT AMUEBLADO,36138409,Juliana,Benito Juárez,19.38336,-99.18072,Entire home/apt,975,1,26,0.59,7,316
Comfortable apartment in Polanco V Section,75111510,Sebastian,Miguel Hidalgo,19.42969,-99.18242,Entire home/apt,792,1,61,1.36,1,354
"Private Room Polanco, for your peace of mind! 1BD",48106570,Alex,Miguel Hidalgo,19.43535,-99.20036,Private room,663,1,198,4.35,15,331
Illuminated apt close to Angel of Independence,20229575,Martha,Cuauhtémoc,19.43056,-99.16856,Entire home/apt,560,2,182,4.04,7,357
Modern and comfortable apartment best location,87380741,Karla,Cuauhtémoc,19.42721,-99.15398,Entire home/apt,628,14,16,0.37,1,10
Vibrant Condo in Brutalist Architecture Building,24633698,Isi,Cuauhtémoc,19.41043,-99.17111,Entire home/apt,1849,2,41,0.94,2,0
Cuarto en la Roma Sur Tuxpan,50935055,Javier,Cuauhtémoc,19.4012,-99.16623,Private room,364,1,14,0.34,1,89
Departamento vintage amoblado,132892494,Marlon,Miguel Hidalgo,19.40727,-99.19406,Entire home/apt,1134,3,4,0.13,1,180
Private room in new apartment_Mixcoac,66746946,,Álvaro Obregón,19.37962,-99.1918,Private room,270,2,28,0.62,2,269
Departamentito Romántico cerca del WTC,21687194,Ivette,Benito Juárez,19.39322,-99.1645,Entire home/apt,650,1,79,2.08,1,360
UBICADISIMA HABITACION GAY FRIENDLY EN ZONA ROSA,129778929,Marco,Cuauhtémoc,19.42365,-99.16384,Private room,600,1,10,0.23,1,179
Lindas habitaciones. Privadas y acogedoras.,13668107,Daniel,Azcapotzalco,19.503,-99.20509,Private room,180,90,1,0.02,1,0
"Private room, young couple's apartment",139092497,"Gabi, Cesar Y Lola",Cuauhtémoc,19.42231,-99.1508,Private room,210,5,34,0.81,1,171
Cuarto en renta,69968719,Ori,Cuajimalpa de Morelos,19.37146,-99.29026,Private room,300,10,1,0.02,1,0
Hostel Posada Vs4 Aeropuerto (Habitación Estándar),94919668,Verenice,Venustiano Carranza,19.42249,-99.0862,Private room,400,1,36,0.81,5,364
SMALL INN PLACE  TOTALLY INDEPENDENT AT CONDESA,118343372,David Arturo,Cuauhtémoc,19.41641,-99.17666,Entire home/apt,488,1,147,3.26,5,279
Room near by Historical Center,19536637,Alexandre,Miguel Hidalgo,19.44732,-99.17368,Private room,295,2,53,1.2,2,89
Brand new apartment - CDMX Historic Center,139314505,SpareHaus CDMX,Cuauhtémoc,19.43901,-99.13363,Entire home/apt,718,1,115,2.58,1,179
Hector's Crib Roma Norte,3558753,Héctor,Cuauhtémoc,19.41665,-99.15943,Entire home/apt,1000,1,24,0.53,1,0
"Bonito depa cerca Polanco, económico y con todo",139328650,Omar,Miguel Hidalgo,19.45046,-99.17806,Entire home/apt,483,2,70,1.59,1,71
La casona,139331737,Esequiel,Miguel Hidalgo,19.44439,-99.19401,Private room,400,1,17,0.39,1,364
Precioso departamento en la Roma Norte,38931744,Sergio,Cuauhtémoc,19.42074,-99.16532,Entire home/apt,1500,2,56,1.51,1,173
Cama para máximo tres dias,139351887,LuiGer,Álvaro Obregón,19.3224,-99.26854,Shared room,200,1,0,0.0,1,0
"Habitación iluminada en PH,excelente vista con gym",64847404,Tavo,Miguel Hidalgo,19.45425,-99.19664,Private room,215,1,10,0.27,2,349
Departamento en San Jose Insurgentes,41475108,Rocio,Benito Juárez,19.36271,-99.18421,Entire home/apt,1000,7,2,0.04,1,364
"New Polanco Penthouse, spectacular view 19th floor",42249091,Ivan,Miguel Hidalgo,19.44185,-99.2018,Entire home/apt,1056,5,27,0.66,1,268
"Rento recamarita ""Confianza"" en Santa Fe",49735631,Jorge,Cuajimalpa de Morelos,19.36768,-99.26849,Private room,399,1,1,0.22,19,2
Great apartment in Polanco - Mexico City,49992318,José,Miguel Hidalgo,19.44029,-99.2044,Entire home/apt,1540,6,20,0.52,1,262
The best place in the best area,139503768,Carlos,Cuauhtémoc,19.41529,-99.16827,Private room,1458,2,13,0.29,1,359
"Tepepan, la Noria, Colegio Alemán,Dolores Olmedo",139595551,Lumon,Xochimilco,19.27008,-99.13017,Private room,529,2,1,0.04,1,0
OM 686  La mejor opción de hospedaje en CD MX,30600030,Daphne,Benito Juárez,19.40235,-99.14641,Entire home/apt,750,1,22,0.49,16,360
"Habitación privada, acceso privado y baño privado.",110710034,Patricia,Álvaro Obregón,19.365,-99.24152,Private room,415,1,128,2.86,2,358
BONITA SUITE INDEPENDIENTE,72475096,Luis,Cuajimalpa de Morelos,19.4047,-99.25808,Entire home/apt,620,1,28,0.74,1,365
recamara con baño completo WTC,139681813,Ceci,Benito Juárez,19.39308,-99.17626,Private room,800,3,1,0.02,1,362
"La Morena, en  la Narvarte.",135486726,Idalid,Benito Juárez,19.39889,-99.14614,Private room,230,6,0,0.0,1,2
"Habitación iluminada en bella privada, en la Roma",139709645,Lorena,Cuauhtémoc,19.41278,-99.16321,Private room,416,1,2,0.15,1,363
Departamento en el corazón del Centro Histórico,126806043,Olga,Cuauhtémoc,19.43975,-99.13426,Entire home/apt,800,2,54,1.68,2,363
Departamento independiente con increíble  vista,139860038,Víctor,Xochimilco,19.25945,-99.11784,Private room,412,1,30,0.69,1,89
Neat Bedroom Santa Fe (Transport service included),135813386,Diego,Álvaro Obregón,19.3803,-99.25502,Private room,600,2,4,0.09,1,89
Cálida habitación con baño privado en Coyoacán,139336556,Alma,Coyoacán,19.34667,-99.14921,Private room,345,2,72,1.65,1,21
"NICE APT UP TO 4 GUESTS, CLOSE TO REFORMA AVE.",63368794,Leon Jorge,Cuauhtémoc,19.43319,-99.15533,Entire home/apt,1006,3,32,0.72,1,81
Cozy and modern apartment Roma and Condesa areas,139918464,Patricia,Cuauhtémoc,19.42038,-99.15361,Entire home/apt,806,2,86,2.03,1,173
Hogar mexicano,140016091,Dra. Gloria,Cuajimalpa de Morelos,19.36695,-99.29155,Entire home/apt,450,2,13,0.37,1,347
Guest Suite in Redesigned Historic Home,34213141,Kevino,Cuauhtémoc,19.42056,-99.15533,Private room,700,1,286,6.33,9,79
Excelente y cómodo Departamento,131499601,Claudia,Miguel Hidalgo,19.43898,-99.19187,Entire home/apt,1200,1,3,0.07,1,179
Cómodo y cálido departamento en Narvarte.,114517503,Victor,Benito Juárez,19.39268,-99.15301,Entire home/apt,863,2,45,1.05,1,362
Bonita habitación privada,106729234,Ricardo,Miguel Hidalgo,19.39509,-99.23431,Private room,450,5,0,0.0,4,365
Bonita habitación en Lomas altas,106729234,Ricardo,Miguel Hidalgo,19.39569,-99.23426,Private room,400,7,0,0.0,4,365
Charming Loft with Sunny and Private Terrace in Coyoacán,94888816,Cynthia,Coyoacán,19.35175,-99.17364,Entire home/apt,969,2,128,2.94,1,165
Renowned Architect loft in the heart of La Roma.,140234921,Ximena,Cuauhtémoc,19.42027,-99.15818,Entire home/apt,1978,4,62,1.43,1,20
"Como nuevo Del Valle, Hospitales WTC Seguridad 24h",46045192,Veronica,Benito Juárez,19.39076,-99.16512,Entire home/apt,779,2,98,2.18,2,278
Acogedor departamento al sur de la ciudad.,62684666,Fabian,Tlalpan,19.27841,-99.14164,Entire home/apt,473,2,11,0.25,3,89
Co- living Horacio. Tu Loft el corazón de Polanco,140275401,Marcela,Miguel Hidalgo,19.43454,-99.19012,Private room,1250,3,31,0.78,4,0
BEAUTIFUL BARRAGAN´S LOFT NEAR REFORMA!!!,140293987,Evelyn,Cuauhtémoc,19.4274,-99.17282,Entire home/apt,1757,2,126,2.83,4,3
Home Inn Suites Coyoacán,54290863,Cristina,Álvaro Obregón,19.35157,-99.18074,Entire home/apt,650,2,181,4.08,1,335
Juarez cerca del Ángel de la independencia,140399249,Mr Miguel,Cuauhtémoc,19.42355,-99.17028,Private room,503,3,0,0.0,1,363
"Mexican Heart, ground floor near WTC Condesa Roma",58493133,Lila,Benito Juárez,19.39341,-99.1647,Entire home/apt,574,2,52,1.27,4,289
Co-living Horacio Tu casa en corazón de Polanco*,140275401,Marcela,Miguel Hidalgo,19.43504,-99.19139,Private room,650,3,29,0.67,4,0
"Ensenada 25, Condesa",140437673,Monse,Cuauhtémoc,19.41099,-99.17418,Entire home/apt,1000,4,18,0.4,3,267
Co-living Horacio. Your home in Polanco,140275401,Marcela,Miguel Hidalgo,19.43336,-99.19159,Private room,490,3,22,0.53,4,0
"Comfortable room, affordable price, ideal students",111281457,Abigail,Azcapotzalco,19.46773,-99.18408,Private room,250,7,5,0.12,4,363
Cozzy& Elegant Private Room at Polanco Mexico City,103840273,Isabel,Miguel Hidalgo,19.43453,-99.18447,Private room,2267,1,0,0.0,1,179
El Jardín de la Amistad: loft céntrico en Coyoacán,128420026,Cathy,Coyoacán,19.35175,-99.16644,Entire home/apt,1000,2,62,1.38,2,346
Habitación cerca de Plaza Tepeyac,140608242,Gerardo,Gustavo A. Madero,19.47101,-99.11294,Private room,350,1,4,0.09,1,364
"Erika’s place

Bonito y  céntrico departamento",10183706,Erika,Cuauhtémoc,19.45133,-99.15477,Entire home/apt,410,2,7,0.21,1,0
Habitación en lindo departamento 7 min. periferico,140691203,Yasmin,La Magdalena Contreras,19.33212,-99.22478,Private room,411,2,1,0.03,1,0
Suite independiente en Ciudad Universitaria UNAM,140824640,Lupita,Álvaro Obregón,19.33787,-99.19477,Private room,550,2,44,0.98,1,179
JALAPA * Private Patio * 2BR,22931264,Chio & Alejandro,Cuauhtémoc,19.41536,-99.16025,Entire home/apt,1443,2,95,2.18,7,335
Comfy Mexican place,94036454,Luis,Iztapalapa,19.36516,-99.12355,Private room,190,1,11,0.34,1,269
Ritzy Polanco Apartment,69708118,Leslie & Alex,Miguel Hidalgo,19.44608,-99.2022,Entire home/apt,1729,3,10,0.23,10,365
"Excellent & Cosy place, best location!",1794959,,Cuauhtémoc,19.41007,-99.17777,Entire home/apt,781,4,8,0.22,1,88
"🔑 Dreamy location, spacious and fully equipped 🌟",94868930,Patricia,Benito Juárez,19.38045,-99.16784,Entire home/apt,999,3,90,2.02,1,306
Departamento en Zona Sur,140853414,Areli,Álvaro Obregón,19.37749,-99.19515,Entire home/apt,723,6,0,0.0,1,88
"Sunny room, Lomas next to Chapultepec Park",7265099,Archibaldo,Miguel Hidalgo,19.42046,-99.20395,Private room,1000,2,0,0.0,1,363
AMAZING BARRAGAN´S LOFT CLOSE TO REFORMA!!!,140293987,Evelyn,Cuauhtémoc,19.42782,-99.17461,Entire home/apt,1770,2,90,2.02,4,360
"Amplia Habitación con baño, centro Coyoacan y UNAM",88958702,Mikel,Coyoacán,19.34302,-99.16947,Private room,210,2,3,0.07,1,0
"LOFT MUY BIEN UBICADO, LIMPIO Y SANITIZADO",36138409,Juliana,Benito Juárez,19.38477,-99.18094,Entire home/apt,975,1,19,0.45,7,147
"Departamento "" Oliva Coyoacán """,128286735,Rosario,Coyoacán,19.34929,-99.14981,Entire home/apt,650,2,25,0.58,6,0
comodo cuarto,108752775,Victor Manuel,Gustavo A. Madero,19.52447,-99.15715,Private room,1400,1,2,0.05,1,365
Bright and spacious room in the middle of the city,2781246,Piero,Cuauhtémoc,19.42654,-99.17364,Private room,1033,4,1,0.02,1,365
"WTC a 200 mts en Col del Valle, bello y tranquilo!",141170231,Elsa Beatriz,Benito Juárez,19.38924,-99.17104,Entire home/apt,900,3,22,0.49,1,0
Depto. Paseo de la Reforma. Best location.,49670163,Darío,Cuauhtémoc,19.44208,-99.14181,Private room,650,1,1,0.02,2,273
BEST service ever in Roma/Condesa- Near WTC w/2 BD,38691360,Araceli,Cuauhtémoc,19.40424,-99.16293,Entire home/apt,909,1,44,1.0,2,365
H702: Lovely appartment in Polanco,50603474,Erik,Miguel Hidalgo,19.43405,-99.19013,Entire home/apt,850,7,80,1.9,3,129
Lovely apartment in Condesa neighborhood!,117697228,Fernanda,Cuauhtémoc,19.40607,-99.17189,Entire home/apt,1134,2,109,2.52,1,89
Modern loft with amenities in trendy Roma-Condesa,259177,Yossy,Cuauhtémoc,19.41899,-99.17278,Entire home/apt,971,5,76,1.71,2,89
Departamento confortable y muy agradable,28961716,Luis,Coyoacán,19.35431,-99.15295,Entire home/apt,790,3,81,1.82,3,162
London Room,102010065,Judith,Iztapalapa,19.34487,-99.05762,Private room,230,1,37,1.0,1,361
La Casita del Barrio,17964106,Maura,Coyoacán,19.34719,-99.16786,Entire home/apt,1000,1,135,3.08,1,60
"Best location in Coyoacán, wide, quiet and cozy ;)",95162585,Nefer,Coyoacán,19.35608,-99.15365,Private room,450,2,13,0.3,3,55
"Sunny & cozy, best location near Polanco & Anzures",141407545,Juan Carlos,Miguel Hidalgo,19.44571,-99.19128,Entire home/apt,1154,5,35,0.81,1,364
Beautiful loft in Roma norte,141409885,Ricardo,Cuauhtémoc,19.42181,-99.16824,Entire home/apt,964,3,56,1.34,3,365
"Reforma, Roma, Condesa, Polanco and Chapultepec.",100261940,Paco,Cuauhtémoc,19.43539,-99.16848,Entire home/apt,800,1,209,4.69,1,145
Location and comfort in La Condesa,128169929,Emmanuel,Cuauhtémoc,19.41274,-99.18083,Entire home/apt,1770,5,117,2.64,1,83
"Depto completo de 2 habitaciones, en Santa Fe",64890549,Jorge,Cuajimalpa de Morelos,19.36831,-99.26718,Entire home/apt,1414,2,90,2.18,1,363
Bonita habitación en Coyoacán,44520182,Roberto,Benito Juárez,19.35871,-99.16189,Private room,500,1,4,0.09,3,0
SANTA Fé a 15 minutos de C.C Santa fé,79382345,Gory,Álvaro Obregón,19.38216,-99.23589,Private room,536,30,0,0.0,1,0
• Family Hideout • Safe | Walk Everywhere | 2BD,105588300,Lulu,Cuauhtémoc,19.42526,-99.17428,Entire home/apt,1200,2,78,1.8,10,237
Comfortable apartment in Colonia del Valle,54559038,Carlos,Benito Juárez,19.38156,-99.16766,Entire home/apt,550,3,106,2.37,3,327
Increíble DEPARTAMENTO REFORMA 222,141747216,Sofia,Cuauhtémoc,19.42893,-99.16285,Entire home/apt,2000,2,69,1.57,1,365
Súper confortable habitación en ubicado Depa Alpes,77993916,Javier,Álvaro Obregón,19.36143,-99.19238,Private room,470,1,10,0.23,1,88
Departamento en CD.MX. Reforma,141639029,Alejandra Magali,Cuauhtémoc,19.43671,-99.1615,Private room,514,3,1,0.02,1,0
Excelente opción al poniente de la ciudad,142077259,Maria De Lourdes,Álvaro Obregón,19.35108,-99.25182,Private room,399,2,2,0.05,1,365
